#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
401,21.32225,9.264111,G,2360.865607,0.007875,,94,1,63,23,14,8,,12,20,3,2
402,21.381099,32.136509,G,4656.076665,0.015531,,224,5,96,28,21,8,,29,41,4,7
403,21.358542,-1.550639,G,5470.013189,0.018246,,52,1,46,18,13,7,,2,8,4,1
404,21.302833,-35.816361,G,10562.887465,0.035234,,31,1,51,15,5,15,,8,8,4,1
405,21.303375,-38.069083,G,6500.100074,0.021682,,51,2,60,18,11,19,,13,17,3,1
406,21.38825,-1.811722,G,6415.858184,0.021401,,19,,31,8,6,2,,1,3,1,1
407,21.383458,-1.502611,G,5785,0.019297,,53,1,46,18,11,5,,3,6,1,1
408,21.368667,-38.267389,G,6176.024427,0.020601,,43,2,46,14,11,16,,8,8,3,1
409,21.57875,34.753889,G,5207.99458,0.017372,,66,1,50,14,11,7,,,6,3,
410,21.59075,34.703028,G,5187.908486,0.017305,,144,4,68,22,21,8,,29,45,13,3
411,21.573875,-1.793389,G,5586.03305,0.018633,,29,,44,12,7,2,,1,6,1,2
412,21.560125,-6.094139,G,1959.143713,0.006535,,130,3,67,21,14,6,,25,28,4,5
413,21.604792,-1.638722,G,5547.059581,0.018503,,58,2,50,19,12,7,1,2,6,5,3
414,21.645887,-1.112993,G,5862.78328,0.019556,SPEC,39,,84,15,11,12,,,2,1,2
415,21.68125,-1.306222,G,5017.026785,0.016735,,24,,31,8,8,5,,1,4,1,1
416,21.677292,2.022361,G,5887.024498,0.019637,,55,3,41,18,16,7,,1,9,1,1
417,21.759083,33.955444,G,4141.033222,0.013813,,24,,42,12,8,3,,2,7,1,3
418,21.67625,-25.314972,G,1605.08882,0.005354,,43,1,34,14,12,16,,14,19,4,4
419,21.789713,14.776272,G,6444.038885,0.021495,,75,,86,24,19,15,,6,8,1,5
420,21.838375,11.975583,G,9438.96554,0.031485,,23,1,45,13,9,5,,4,7,1,2
421,21.725749,-36.556218,G,5908.909347,0.01971,,16,,17,7,3,13,2,3,4,2,
422,21.895292,31.554722,G,4040.902541,0.013479,,74,1,68,19,11,8,,19,28,3,3
423,21.919417,37.182917,G,5192.10558,0.017319,,80,,50,21,14,7,,15,23,4,3
424,21.772595,-35.856022,G,6030.0255,0.020114,,28,1,25,7,9,15,3,9,13,5,4
425,21.899594,-1.105117,G,4448.495271,0.014839,SPEC,59,1,76,22,15,10,,1,3,10,3
426,22.00375,32.033111,G,6414.059639,0.021395,,51,1,62,18,13,7,,11,17,1,3
427,21.907417,-21.643083,G,5463.117962,0.018223,,21,,41,9,6,16,,4,4,3,1
428,21.979333,-1.640611,G,5663,0.01889,,14,,36,10,6,4,,,1,1,1
429,22.078167,34.308639,G,4672.865043,0.015587,,49,,48,17,10,7,,,9,1,2
430,22.054,-1.915528,G,4806,0.016031,,41,1,33,14,10,4,,2,5,1,1
431,22.042417,-1.306028,G,4532,0.015117,,46,2,52,19,11,7,,3,7,1,1
432,22.221907,13.79379,G,6333.115675,0.021125,,73,,92,23,20,15,,3,9,13,6
433,22.305458,33.66825,G,6611.023284,0.022052,,29,,44,14,10,4,,3,9,1,4
434,22.232417,-1.819194,G,4787.086119,0.015968,,25,,41,14,8,3,,2,5,1,1
435,22.244325,-0.948996,G,5526,0.018433,,75,2,95,29,22,16,,1,11,7,2
436,22.296167,11.140694,G,5795.887591,0.019333,,35,1,38,14,12,7,,3,10,1,2
437,22.336667,32.064361,G,5067.991502,0.016905,,40,1,36,12,10,3,,13,20,,3
438,22.262833,-35.598917,G,5717.941551,0.019073,,46,2,60,17,12,19,,7,10,6,2
439,22.446083,45.599028,G,5222.084826,0.017419,,39,2,43,16,14,7,,8,17,1,2
440,22.442625,32.021139,G,6336.1136,0.021135,,21,,40,12,7,2,,3,4,4,4
441,22.499458,40.973806,G,2809.055331,0.00937,,40,2,44,18,14,7,,4,15,1,3
442,22.583042,17.021583,G,12945.038336,0.04318,,26,,46,12,9,6,,3,8,1,3
443,22.522583,-42.686306,G,6726.143588,0.022436,,52,2,51,14,14,19,,12,10,3,1
444,22.621202,-22.667368,G,1629.072217,0.005434,,196,5,61,19,20,20,1,34,52,16,5
445,22.73025,17.188556,G,2800.960935,0.009343,,73,,51,22,14,7,,12,17,3,4
446,22.7425,14.108333,G,4519.970889,0.015077,,46,,41,15,13,7,,7,13,9,5
447,22.696375,-23.587889,G,5788.092987,0.019307,,24,1,41,13,6,17,,3,5,3,1
448,22.682583,-51.141917,G,3634.383968,0.012123,,33,2,52,12,7,17,,10,12,3,
449,22.860833,14.2775,G,4480.99787,0.014947,,114,,11,16,13,5,1,19,23,7,5
450,22.991875,33.476528,G,4346.091264,0.014497,,86,1,67,16,12,7,,26,36,2,3
451,22.894417,-41.531222,G,6333.115675,0.021125,,14,1,45,13,7,15,,3,4,3,1
452,23.111041,-34.6092,G,5303.928167,0.017692,,15,1,14,5,4,13,3,3,4,2,
453,23.323658,13.332025,G,2765.885218,0.009226,,69,,45,23,21,8,1,8,16,8,6
454,23.3275,3.070556,G,1710.01618,0.005704,,43,1,29,18,10,4,,7,9,2,3
455,23.426167,3.543222,G,3515.965947,0.011728,,36,,20,12,10,6,,7,16,1,3
456,23.720292,55.402333,G,5752.117892,0.019187,,27,,35,12,10,5,,1,8,1,2
457,23.510258,-1.075769,G,4638.687803,0.015473,SPEC,75,1,105,23,16,15,,6,15,7,4
458,23.533209,-1.032286,G,4901,0.016348,,74,1,98,26,22,14,,7,15,7,3
459,23.501,-34.387389,G,3808.863179,0.012705,,50,2,46,11,11,18,1,14,18,4,2
460,23.553792,-25.5665,G,5759.912496,0.019213,,44,2,47,12,10,19,,13,14,3,2
461,23.645625,-15.504389,G,5446.029792,0.018166,,28,,41,11,9,5,,7,9,1,5
462,23.2005,-79.474319,G,1766.976801,0.005894,,53,1,53,13,6,17,,10,13,5,1
463,23.773667,-7.340306,G,1838.02756,0.006131,,151,4,79,19,14,7,,26,45,4,8
464,23.911886,-41.287941,G,7296.948428,0.02434,,15,1,12,6,4,13,2,3,4,2,
465,24.234292,31.985306,G,6613.121831,0.022059,,37,1,47,14,11,7,,11,18,2,3
