#No, RA Dec pv[km/s]    comoving_distance[Mpc/h100]   zcmb zHubble
121 8.009042 -64.253389 -152.9099  27.64540513 0.00872600  0.00924077
122 8.061917 -41.383889 -126.2556  78.85993864 0.02603100  0.02646329
123 8.128875 2.574167 -125.2014  24.95601772 0.00791900  0.00834011
124 8.135208 23.395083 -122.8487  47.62480775 0.01552700  0.01594331
125 8.185042 30.750694 -384.9207  64.78289562 0.02040400  0.02171584
126 8.220667 30.650972 -384.9207  64.14977634 0.02019100  0.02150257
127 8.21025 11.736861 -251.0065  51.54165639 0.01640800  0.01725972
128 8.314333 7.905056 -417.7280  57.98345287 0.01800600  0.01942646
129 8.292833 -13.146194 -283.7442  64.38230811 0.02061400  0.02158089
130 8.400667 2.681056  61.0117  43.12080380 0.01463700  0.01443055
131 8.399625 23.397806 -312.8471  54.77704080 0.01728500  0.01834769
132 8.511618 -9.705335 -38.1035  37.60297499 0.01245000  0.01257870
133 8.5645 -27.803583 -336.0908  19.22564503 0.00529400  0.00642228
134 8.636 -30.017861 -336.0908  18.64505556 0.00510000  0.00622806
135 8.712583 39.545111 -505.4515  62.74213231 0.01930700  0.02102846
136 8.694833 -8.396444 -234.7327  18.82396672 0.00550000  0.00628791
137 8.648042 -55.789972 -109.6356  84.45194167 0.02797600  0.02835207
138 8.733042 31.948778 -401.1218  62.83631378 0.01969400  0.02106018
139 8.90175 9.12425 -417.7280  57.18889140 0.01773900  0.01915909
140 8.91475 8.997583 -251.0065  53.04189370 0.01691200  0.01776414
141 9.016917 23.957889 -312.8471  55.51210436 0.01753200  0.01859495
142 9.041917 21.464556 -190.1321  93.95367723 0.03091100  0.03156523
143 9.0083 -9.888528  1.9214  49.16686666 0.01646800  0.01646149
144 9.044042 4.635222 -281.5074  51.90933138 0.01642800  0.01738333
145 9.1877 21.566049 -191.9763  90.50019720 0.02973700  0.03039683
146 9.301958 1.94225  61.0117  42.89151213 0.01456000  0.01435357
147 9.27575 -46.644083 -170.0402  37.03813786 0.01181500  0.01238922
148 9.306708 -22.587028 -153.0139  31.94922847 0.01016700  0.01068285
149 9.475333 32.689194 -305.6503  51.11114222 0.01607800  0.01711499
150 9.491 5.147861 -281.5074  54.89769120 0.01743200  0.01838827
151 9.510083 -46.517583 -194.6800  35.50825722 0.01121900  0.01187609
152 9.510792 -53.629833 -172.7988  85.11418432 0.02798300  0.02857587
153 9.632417 30.289917 -474.8570  58.63898363 0.01803200  0.01964707
154 9.617625 29.625139 -384.6346  60.16840031 0.01885300  0.02016187
155 9.666375 17.402667 -422.9476  58.39334628 0.01812600  0.01956440
156 9.771375 6.021056 -417.7280  56.58174496 0.01753500  0.01895480
157 9.826083 -27.34925 -143.8893  69.89954399 0.02294900  0.02344021
158 9.906958 8.965417  21.4887  44.00447222 0.01480000  0.01472727
159 9.895333 2.887444 -269.3850  54.01035354 0.01717500  0.01808983
160 9.929792 9.00525  21.4887  44.03424965 0.01481000  0.01473727
161 9.889482 -35.803362 -29.1264  64.45165437 0.02150500  0.02160425
162 10.148417 -25.442 -172.4265  75.38290408 0.02470000  0.02528970
163 10.265208 31.732694  7.1299  46.32562742 0.01553100  0.01550685
164 10.229667 -13.775583 -225.9003  86.38203910 0.02822900  0.02900438
165 10.181375 -63.441861 -152.5766  18.62127745 0.00570800  0.00622011
166 10.36679 25.499441  78.0740  44.42862486 0.01513400  0.01486970
167 10.391221 -10.021429 -58.1668  39.79030661 0.01311600  0.01331261
168 10.465375 32.991306 -305.6503  52.18304234 0.01643800  0.01747536
169 10.519333 36.805028 -236.9432  107.99715176 0.03550400  0.03632307
170 10.532333 33.406761 -472.5264  66.93081276 0.02082800  0.02243955
171 10.561208 -18.16175 -301.7381  18.52145804 0.00517400  0.00618672
172 10.722833 33.522722 -472.5264  66.84164843 0.02079800  0.02240950
173 10.866007 -0.124929  61.0117  40.94369659 0.01390600  0.01369970
174 10.837542 -55.326917  20.6818  78.79448223 0.02651200  0.02644119
175 10.936625 -24.421361 -185.5094  69.27353374 0.02259600  0.02322917
176 11.287811 -9.631711 -442.9090  65.12960218 0.02032300  0.02183264
177 11.493208 -7.282222 -479.0157  62.84017428 0.01943000  0.02106148
178 11.58075 51.217444 -420.1566  56.77596340 0.01759200  0.01902015
179 11.465052 -31.199078 -141.8343  59.57628858 0.01948000  0.01996255
180 11.525792 -42.529806 -233.1223  74.15961265 0.02408000  0.02487696
181 11.570083 -24.279333 -77.2878  105.71146033 0.03528100  0.03554797
182 11.537625 -55.568472  117.5649  74.96587665 0.02555100  0.02514898
183 11.710042 26.4755 -321.2366  52.59956483 0.01652500  0.01761541
184 11.679487 -35.797142 -157.5907  71.47449297 0.02343300  0.02397127
185 11.736 -21.8475 -229.7633  66.27464591 0.02143500  0.02221844
186 11.785625 -20.760389  nan  nan 0.00052000  nan
187 11.856217 -9.852742 -389.8080  61.39256812 0.01924700  0.02057401
188 11.975125 19.596833 -13.0050  45.53429677 0.01519700  0.01524104
189 11.94808 -9.89953 -281.9769  16.25487012 0.00448300  0.00542868
190 11.943489 -9.83505 -389.8080  60.98513699 0.01911000  0.02043683
191 12.006292 8.297083 -432.1684  56.94808409 0.01760900  0.01907806
192 12.013708 -2.775333  57.5376  39.75727671 0.01349600  0.01330152
193 12.25875 28.218056 -492.2955  55.63926397 0.01696500  0.01863773
194 12.398875 1.11525 -495.1134  57.61478946 0.01761900  0.01930240
195 12.4393 31.600336 -520.1319  56.39731561 0.01712500  0.01889275
196 12.492583 21.717639 -124.0473  46.45471373 0.01513000  0.01555021
197 12.46725 0.963194  139.8928  44.66889833 0.01542400  0.01495039
198 12.540583 31.73125  146.0782  44.31787274 0.01532700  0.01483251
199 12.511458 7.918806 -464.2408  58.30535855 0.01795600  0.01953479
200 12.521945 -1.951762  64.8903  37.62719916 0.01280600  0.01258682
201 12.586583 -41.24325 -151.8689  71.28893362 0.02339000  0.02390869
202 12.515687 -66.55329 -152.5766  18.18158011 0.00556100  0.00607303
203 12.642425 -43.063849 -150.5211  70.46228693 0.02311600  0.02362995
204 12.710209 -26.491688 -160.0468  56.52873923 0.01839300  0.01893697
205 12.696542 -55.607444  20.6818  78.50718549 0.02641500  0.02634420
206 12.893792 29.716472 -458.0381  53.77408837 0.01645500  0.01801037
207 13.017958 47.5505 -355.1340  9.82139040 0.00209000  0.00327848
208 13.050625 29.676972 -474.8570  60.11787110 0.01852900  0.02014486
209 13.116461 14.518171 -418.4933  58.75590835 0.01826300  0.01968642
210 13.126083 24.350583 -238.6470  103.25913314 0.03389300  0.03471668
211 13.146167 29.207278 -458.0381  53.13675664 0.01624100  0.01779604
